activity_0_cnt,activity_1_cnt,activity_2_cnt,activity_3_cnt,activity_4_cnt,text_change_0_cnt,text_change_1_cnt,text_change_2_cnt,text_change_3_cnt,text_change_4_cnt,text_change_5_cnt,text_change_6_cnt,text_change_7_cnt,text_change_8_cnt,text_change_9_cnt,text_change_10_cnt,text_change_11_cnt,text_change_12_cnt,text_change_13_cnt,down_event_0_cnt,down_event_1_cnt,down_event_2_cnt,down_event_3_cnt,down_event_4_cnt,down_event_5_cnt,down_event_6_cnt,down_event_7_cnt,down_event_8_cnt,down_event_9_cnt,down_event_10_cnt,down_event_11_cnt,down_event_12_cnt,down_event_13_cnt,down_event_14_cnt,down_event_15_cnt,up_event_0_cnt,input_word_length_median,input_word_length_skew,down_time_mean,up_time_mean,down_time_std,up_time_std,cursor_position_std,word_count_std,down_time_median,up_time_median,action_time_median,cursor_position_median,word_count_median,down_time_min,up_time_min,action_time_min,cursor_position_min,word_count_min,down_time_max,down_time_quantile,up_time_quantile,action_time_quantile,cursor_position_quantile,word_count_quantile,activity,down_event,up_event,text_change,inter_key_largest_lantency,inter_key_median_lantency,mean_pause_time,std_pause_time,total_pause_time,pauses_half_sec,pauses_1_sec,pauses_1_half_sec,pauses_2_sec,pauses_3_sec,P-bursts_mean,P-bursts_std,P-bursts_count,P-bursts_median,P-bursts_max,P-bursts_first,P-bursts_last,R-bursts_mean,R-bursts_std,R-bursts_median,R-bursts_max,R-bursts_first,R-bursts_last,keys_per_second,product_to_keys,action_time_std,action_time_gap_min,action_time_gap_std,word_event_ratio,time_diff_Leftclick_std,time_diff_ArrowLeft_std,time_diff_ArrowUp_std,time_diff_Delete_std,time_diff_ArrowLeft_mean,time_diff_Shift_sum,time_diff_comma_sum,time_diff_Enter_sum,time_diff_q_median,time_diff_Leftclick_median,time_diff_ArrowDown_median,time_diff_Enter_median,time_diff_Leftclick_max,time_diff_ArrowUp_max,time_diff_Enter_max,cursor_position_diff_Backspace_std,cursor_position_diff_Shift_std,cursor_position_diff_comma_mean,cursor_position_diff_CapsLock_mean,cursor_position_diff_abostrove_mean,cursor_position_diff_Space_sum,cursor_position_diff_comma_median,cursor_position_diff_ArrowUp_median,cursor_position_diff_Delete_median,cursor_position_diff_Leftclick_max,cursor_position_diff_ArrowLeft_max,word_count_diff_q_std,word_count_diff_ArrowRight_std,word_count_diff_Enter_std,word_count_diff_dot_mean,word_count_diff_q_sum,time_diff_Remove/Cut_std,time_diff_Nonproduction_std,time_diff_Remove/Cut_mean,time_diff_Nonproduction_sum,time_diff_Replace_sum,time_diff_Replace_median,cursor_position_diff_Paste_mean,cursor_position_diff_Replace_median,word_len_count,word_len_mean,word_len_std,word_len_min,word_len_max,word_len_first,word_len_last,word_len_sem,word_len_q1,word_len_median,word_len_q3,word_len_skew,word_len_kurt,word_len_sum,word_len_ge_5_count,word_len_ge_6_count,word_len_ge_7_count,word_len_ge_8_count,word_len_ge_9_count,word_len_ge_10_count,word_len_ge_11_count,word_len_ge_12_count,sent_count,sent_len_mean,sent_len_std,sent_len_min,sent_len_max,sent_len_first,sent_len_last,sent_len_sem,sent_len_q1,sent_len_median,sent_len_q3,sent_len_skew,sent_len_kurt,sent_len_sum,sent_word_count_mean,sent_word_count_std,sent_word_count_min,sent_word_count_max,sent_word_count_first,sent_word_count_last,sent_word_count_sem,sent_word_count_q1,sent_word_count_median,sent_word_count_q3,sent_word_count_skew,sent_word_count_kurt,sent_word_count_sum,sent_len_ge_50_count,sent_len_ge_60_count,sent_len_ge_75_count,sent_len_ge_100_count,paragraph_count,paragraph_len_mean,paragraph_len_std,paragraph_len_min,paragraph_len_max,paragraph_len_first,paragraph_len_last,paragraph_len_sem,paragraph_len_q1,paragraph_len_median,paragraph_len_q3,paragraph_len_skew,paragraph_len_kurt,paragraph_len_sum,paragraph_word_count_mean,paragraph_word_count_std,paragraph_word_count_min,paragraph_word_count_max,paragraph_word_count_first,paragraph_word_count_last,paragraph_word_count_sem,paragraph_word_count_q1,paragraph_word_count_median,paragraph_word_count_q3,paragraph_word_count_skew,paragraph_word_count_kurt,paragraph_word_count_sum,word_len_ge_6_count_mp,word_len_ge_6_count_mt,word_len_ge_6_count_mi,word_len_ge_6_count_md,word_len_ge_6_count_mk
2845,596,907,1,2,2825,560,20,24,4,2,0,1,0,0,0,0,2,0,2332,470,584,46,314,129,320,18,22,75,17,2,0,2,12,2,2332,4.0,3.67245013773788,650555.9009423121,650666.1344518502,424570.434162616,424564.62427599495,546.3563781313972,115.8328294127833,589514.0,589545.0,109.0,641.0,245.0,1116,1342,0,0,0,1731782,589514.0,589545.0,109.0,641.0,245.0,5,18,18,14,67.356,0.044,0.1399479802383025,1.2905046522456158,481.5609999999992,52,19,8,13,16,117.34482758620688,109.31614567132112,29,84.0,430,109,66,3.7961783439490446,4.133569348363849,2.0,20.0,12.0,6.0,1.988006100942873,0.6469049694856146,72.25024957887037,-153.0,4212.353809876227,0.0841185934267984,22714.61057427779,184.10123966960137,189.3069208827761,327.8781531809238,32.903125,124068,1347,7004,-2.0,627.5,0.0,3502.0,204956.0,687.0,6821.0,0.478428684307479,0.0,1.0,,1.0,472,1.0,-101.0,0.0,1106.0,-1.0,0.3814730068505727,0.0,0.0,0.0,412,2905.179300636284,8847.301244153727,295.9127516778523,899490,158,158.0,2.0,-9.0,366,5.005464480874317,2.9395690071930614,1,18,2,7,0.153653733450949,3.0,4.0,7.0,0.9908455913004628,0.8599940974646856,1832,173,134,103,75,50,31.0,19.0,9.0,16,136.375,52.31172590028612,63,266,105,153,13.07793147507153,104.75,120.0,157.75,1.1070003503281396,1.2604765090049952,2182,22.875,8.980534505250787,11,45,16,26,2.245133626312697,16.0,20.0,27.0,1.0510732247401324,0.9247392071309184,366,16,16,15.0,14.0,3,741.3333333333334,214.0007788147822,511,934,934,779,123.55340725550408,645.0,779.0,856.5,-0.7675152568506534,,2224,126.33333333333331,35.50117368951812,87,156,156,136,20.496612186190948,111.5,136.0,146.0,-1.1344637611139514,,379,2546,180498,84085.0,2948,3045.4545454545455
2915,424,110,1,0,2695,551,31,18,9,8,2,9,0,0,0,4,12,0,2356,488,424,82,0,25,0,27,15,0,0,8,0,7,0,0,2356,4.0,1.5714688169796085,529575.0536231884,529651.8397101449,282004.3499100118,282003.04070175934,714.5128163437325,120.21698652980528,511391.5,511457.5,69.0,1298.5,224.0,1124,1226,0,0,0,1645887,511993.0,512058.0,69.0,1299.0,224.0,4,15,15,12,12.79,0.044,0.1322186283318354,0.52923897633177,441.4779999999984,68,15,10,15,19,98.38235294117646,91.28942144094886,34,68.0,320,71,5,3.117647058823529,4.669933497074919,2.0,42.0,2.0,1.0,2.029963698972008,0.74303683737646,39.45425812569221,-113.0,4387.495683940012,0.1234782608695652,37409.99850917562,,,,,235977,2041,17442,25.0,14179.0,,412.0,139743.0,,12790.0,0.0,0.0,1.0,,1.0,488,1.0,,,909.0,,0.4092679358491994,,0.0,0.0,501,568.0442864865071,23008.305567360665,204.1556603773585,977147,384,384.0,,-10.0,428,4.735981308411215,2.436628130433496,1,13,6,3,0.1177788661962588,3.0,4.0,6.0,0.8637821585398777,0.3104635631871577,2027,189,142,85,59,43,22.0,12.0,4.0,22,110.5909090909091,44.28980221322489,42,199,64,159,9.442617559107848,77.0,101.0,139.25,0.5220569010908306,-0.5325633873597644,2433,19.454545454545453,7.932616650664959,6,34,11,32,1.6912395524962125,15.0,17.5,25.0,0.4016893266321448,-0.7692567342740131,428,21,20,16.0,11.0,3,824.6666666666666,829.9351380278662,293,1781,293,400,479.1632753503178,346.5,400.0,1090.5,1.699718324318521,,2474,142.66666666666666,136.6979638960776,53,300,53,75,78.92260625307415,64.0,75.0,187.5,1.681717055321534,,428,2130,289822,2013418.0,2130,3227.2727272727275
2639,220,100,9,0,2303,478,22,39,12,1,0,0,0,2,0,0,0,0,2134,450,214,23,7,68,2,20,32,0,0,10,0,1,6,0,2134,4.0,1.8476230896306456,683174.6714959568,683275.263477089,434091.9216919324,434092.0010123319,602.9940003713932,115.8259818070447,601815.0,601896.5,92.0,1073.0,187.0,30396,30586,0,0,0,1787890,601880.0,601978.0,92.0,1073.0,187.0,4,13,13,18,41.035,0.048,0.219779643231899,1.4427263264512151,628.3499999999993,75,25,15,16,26,68.6829268292683,67.23110850803751,41,50.0,316,32,9,4.0,5.5843697213906935,2.0,37.0,3.0,9.0,1.6266360949354666,0.8170689052116125,92.45210073300878,-143.0,3597.200920237181,0.1320754716981132,18615.260832148902,1382.3937572197003,,473.7859221209512,1588.5,125143,21242,55248,35.0,5538.0,,1650.5,123508.0,,34462.0,0.0,0.0,1.0,,1.0,450,1.0,,0.0,2114.0,-1.0,0.3895369275359462,0.0,0.0,-0.05,331,860.676708319247,16077.69082947434,307.5318181818182,871002,8546,662.0,,-8.0,393,4.847328244274809,2.654818345113704,1,12,5,11,0.1339178705201895,3.0,4.0,6.0,0.7853118681843411,-0.2244587371820818,1905,180,133,98,68,47,32.0,17.0,3.0,16,142.625,51.08799598079116,72,219,219,83,12.771998995197787,97.0,136.5,190.75,0.036566674389412,-1.5325568005607946,2282,24.5625,9.143075704232867,10,38,35,14,2.285768926058217,19.0,22.5,31.25,0.1000955798362986,-1.2069564379759354,393,16,16,15.0,12.0,5,465.6,269.7226353126485,216,863,222,216,120.62362952589348,222.0,455.0,572.0,0.7210694410171752,-0.3308817921904552,2328,82.4,50.91954438130805,37,157,37,39,22.77191252398445,39.0,70.0,109.0,0.8103067794952101,-0.6941587453009959,412,3325,2825186,736554.0,4256,2770.8333333333335
3391,664,219,1,0,3241,752,28,13,6,0,2,0,7,0,4,2,0,0,2705,633,667,173,31,7,4,25,11,0,0,6,0,0,1,0,2705,4.0,2.2592584642086697,1099406.8736842105,1099528.1808187135,465547.89914505545,465551.0108255948,778.7335934443059,140.49435546821695,1142243.0,1142275.0,122.0,1229.0,213.0,35258,35475,0,0,0,1872648,1142243.0,1142275.0,122.0,1229.0,213.0,4,15,15,11,63.338,0.063,0.2185094944512937,1.4094696591712896,886.055999999996,152,43,17,12,32,93.23255813953487,83.54150300450964,43,68.0,342,78,317,4.517006802721088,9.21163182299527,2.0,76.0,2.0,1.0,2.206836349070897,0.6705302096177559,98.43407031359644,-189.0,2493.6723732723976,0.1136842105263157,11030.357993586003,740.6125280243824,,,469.75,392889,8119,10041,42.0,17533.5,,981.0,28835.0,,4274.0,0.0772656972982414,0.0,1.0,,,633,1.0,,0.0,296.0,-1.0,0.4184786893968577,0.0,0.0,0.0,612,2730.9933464377004,9005.871451086654,346.0828313253012,496536,118,118.0,,-8.0,486,4.465020576131687,2.2897824818110446,1,13,9,6,0.1038666426370511,3.0,4.0,6.0,0.8652949231179005,0.1962849490901601,2170,192,136,92,62,34,15.0,6.0,1.0,29,90.58620689655172,49.68581088153503,11,197,86,49,9.22642345424769,57.0,82.0,129.0,0.6007449577442078,-0.5289253371614939,2627,16.75862068965517,8.546741954075639,3,36,13,10,1.587090137474073,11.0,15.0,24.0,0.6089333475826547,-0.4374143433975597,486,24,19,15.0,10.0,4,678.25,331.91703280589064,293,1065,550,293,165.95851640294532,485.75,677.5,870.0,0.0108901442338405,-1.1607182619298193,2713,129.5,66.70582183487936,54,203,97,54,33.35291091743968,86.25,130.5,173.75,-0.0596727958087769,-2.690062747325904,518,5848,1104184,2384556.0,1496,2158.7301587301586
2177,122,100,1,0,1845,417,20,5,4,0,0,0,0,0,0,0,2,0,1753,397,122,0,0,57,0,19,5,0,0,3,42,0,0,0,1753,4.0,1.032663012835306,864911.8483333334,864976.3479166667,510402.5179654911,510398.71632377617,584.5554983379004,103.10568795430233,818477.0,818544.0,60.0,1046.5,183.0,31541,31652,8,0,0,1815679,818581.0,818656.0,60.0,1047.0,183.0,4,10,10,13,53.006,0.181,0.4305171813832116,1.7282474544285058,989.7590000000037,147,55,34,14,38,42.84615384615385,45.09092540128773,52,30.0,211,44,11,2.1785714285714284,3.83338038743942,1.0,27.0,2.0,1.0,1.2885398976566396,0.8725532840365376,83.0957703161131,-55.0,4797.397255577566,0.1470833333333333,27457.816683659352,,,,,0,34862,30798,181.0,2274.0,,13186.0,164604.0,,14498.0,2.838802497647135,,1.0,0.0,,397,1.0,,,360.0,,0.4105848151627343,,0.0,0.0,376,675.2578015572129,21397.83624720147,637.0245901639345,639854,582,582.0,,-1.0,358,4.516759776536313,2.63854186948644,1,13,11,7,0.1394512709692977,2.0,4.0,6.0,1.0474360226564696,0.3701687495724561,1617,131,104,75,54,39,21.0,18.0,4.0,18,109.05555555555556,43.79023826516889,50,199,101,73,10.32145814235852,84.25,100.5,132.25,0.7497720943437373,0.1510017672988204,1963,20.22222222222222,8.363474900918916,9,37,17,13,1.971289938907752,15.0,19.0,25.0,0.7476238295767045,-0.0008659056317181,364,18,15,14.0,10.0,3,668.0,440.1829165244831,359,1172,359,1172,254.13972534808488,416.0,473.0,822.5,1.602273279596822,,2004,124.0,79.18964578781748,65,214,65,214,45.72016331262754,79.0,93.0,153.5,1.4916383053173357,,372,5720,3625648,236496.0,520,574.585635359116
3398,323,74,1,0,3054,614,19,26,8,0,0,0,0,0,0,0,0,0,2788,561,323,22,11,40,0,18,24,0,0,8,0,0,0,0,2788,5.0,1.666896970326682,751106.7197049526,751210.3063751317,374858.8454086376,374854.5439950416,834.4117838705426,138.35810144310722,750746.5,750861.0,100.0,1175.0,223.0,35680,35698,0,0,0,1799978,750803.0,750913.0,100.0,1175.0,223.0,4,10,10,7,25.841,0.049,0.1928589088954567,1.0000043130185436,717.6279999999944,89,36,21,24,32,64.82456140350877,57.19144629070028,57,52.0,219,83,109,3.629213483146068,4.503488603475568,2.0,33.0,2.0,1.0,2.1090529439737824,0.8253157753292126,41.53888438334853,-137.0,4145.064629017348,0.125131717597471,36501.83152197762,,,,,26947,21484,4200,46.0,7707.0,,243.0,227464.0,,2182.0,0.0,0.0,1.0,,,561,1.0,,,1360.0,,0.3831047559788142,0.0,0.0,0.0,498,323.09926709291244,27627.265558552303,205.79876160990716,661351,29615,29615.0,,-4.0,475,5.3452631578947365,2.831176956325404,1,14,5,11,0.1299033078305631,3.0,5.0,7.0,0.6151469704822139,-0.528984277632051,2539,244,200,161,104,74,55.0,33.0,6.0,17,176.2941176470588,72.98695491822696,55,298,166,275,17.70193673059083,136.0,166.0,228.0,0.1088551420939319,-0.7827510367540316,2997,27.94117647058824,11.535112636182266,9,46,26,43,2.797675753080968,22.0,27.0,37.0,-0.0026444456800672,-0.940741434089555,475,17,16,16.0,14.0,5,612.6,88.09824061807365,494,705,705,494,39.39873094402915,549.0,644.0,671.0,-0.5523755794780661,-1.780682030668716,3063,102.4,17.052858997833766,79,119,113,79,7.626270385975047,90.0,111.0,113.0,-0.6989151021111444,-1.8287998387978668,512,7200,4296800,1541400.0,4800,4081.632653061224
3276,568,103,1,0,2999,744,38,24,4,14,4,7,4,0,0,0,0,4,2552,641,568,78,0,24,0,32,22,0,0,4,0,12,0,0,2552,4.0,1.6710156598928745,968077.6132218844,968159.519503546,556962.4385831553,556949.6113736024,721.9752306425493,172.5582602405798,860668.0,860794.5,81.0,1384.0,298.0,143034,143226,0,0,0,1885152,860732.0,860823.0,81.0,1384.0,298.0,4,15,15,13,22.47,0.083,0.2125746618106139,0.7316923054571676,817.1369999999998,168,45,26,12,40,75.74,73.65246854280568,50,50.5,292,70,292,6.042553191489362,30.038296306948265,2.0,293.0,3.0,293.0,2.206419624966063,0.704474505723205,37.1844031674489,-132.0,2889.042620273217,0.1415906788247213,31153.669068075465,,,,,183679,14566,24846,85.0,7468.0,,856.0,139074.0,,22470.0,0.0,0.0,0.9545454545454546,,1.0,641,1.0,,,514.0,,0.4270522473871087,,0.0,0.0,612,992.140315401514,16475.062420888735,231.48591549295776,622507,1035,1035.0,,0.0,505,4.235643564356436,2.298618639635407,1,13,10,4,0.102287186953257,2.0,4.0,5.0,0.9614526641915372,0.5878093842739069,2139,192,124,88,48,28,18.0,9.0,1.0,28,93.42857142857144,33.92303769965901,33,160,106,118,6.410851533511883,71.25,96.0,112.25,0.1589461986454343,-0.4299845616328435,2616,18.035714285714285,6.3332289047363775,6,31,19,22,1.196867762712745,14.0,19.0,21.25,0.1788366156201057,-0.2051196614274304,505,24,23,20.0,13.0,5,540.8,427.7460695319128,2,1111,314,2,191.29385771634173,314.0,487.0,790.0,0.1736925684986036,-0.6629720965228856,2704,108.4,87.30005727374983,3,224,58,3,39.04177250074592,58.0,92.0,165.0,0.2647678171466027,-1.1396941801313751,542,5580,1806184,926032.0,2728,1493.9759036144578
4872,249,92,0,0,4099,912,35,38,18,9,0,2,7,0,0,0,0,0,3901,866,249,61,0,28,1,35,37,1,0,17,0,8,0,0,3901,4.0,1.6049560987969875,456027.4830232112,456143.6683291771,282631.9396206193,282631.77034683875,1325.829343491855,233.6012160021632,510589.0,510705.0,116.0,2277.0,412.0,2790,2980,0,0,0,1746682,510589.0,510705.0,116.0,2277.0,412.0,3,14,14,10,61.629,0.054,0.1322228080453031,1.6818075547824851,677.1129999999974,42,4,2,6,13,283.6111111111111,402.7832783036626,18,67.0,1345,25,2,4.69811320754717,5.706220983279084,2.0,30.0,2.0,2.0,2.936319537619981,0.7178285491115016,40.09122606283344,-324.0,4002.649831173074,0.1544216382121619,41933.82337687382,,,,982.0,53996,3131,67473,-35.0,6845.0,39231.0,587.0,167611.0,,52255.0,60.01368652466807,0.0,1.0,,1.0,866,1.0,,,2952.0,-1.0,0.4142612787542528,,0.0,0.0,858,2402.7528571193893,26061.42966114219,243.9558232931727,855145,0,,,,639,4.671361502347418,2.590368559092033,1,17,2,11,0.1024733964630821,3.0,4.0,6.0,1.2837498954346154,1.807634318591263,2985,267,185,129,89,54,41.0,28.0,11.0,31,115.90322580645162,63.51396425916098,16,236,95,162,11.407444733684397,68.0,116.0,158.5,0.2059749907161381,-0.8215345273295513,3593,20.61290322580645,11.356869930736018,3,46,15,22,2.039754053988641,14.0,20.0,25.5,0.4835777566212866,-0.2990667290762387,639,25,25,22.0,18.0,7,523.4285714285714,327.8225420065238,6,1022,229,6,123.90527433004102,372.0,566.0,663.0,-0.2265398454467128,0.3320725293967976,3664,93.57142857142856,57.38134755841002,7,187,41,7,21.68811079047375,67.5,102.0,112.0,0.0438740649274063,0.6380998642024078,655,740,579235,1266325.0,6845,3425.925925925926
1344,138,156,0,0,1169,277,23,4,5,0,0,1,3,0,0,0,0,0,1060,253,76,108,20,28,0,20,3,0,0,4,0,0,62,0,1060,4.0,1.1822601234296048,1124090.9505494505,1124185.9835164836,325273.45029626833,325271.23538987624,333.8128358674212,70.16946908406372,1150650.5,1150789.0,95.0,574.0,119.5,428673,428832,0,0,0,1794685,1150937.0,1151096.0,95.0,574.0,120.0,3,12,12,8,63.683,0.213,0.4660782726045879,2.17000241817425,690.7279999999994,129,38,15,9,23,47.5,48.871929747467306,30,22.5,158,126,11,6.0,13.608152636629931,1.0,62.0,1.0,3.0,1.0848352909657084,0.8137651821862348,47.27186619981885,-89.0,4776.580147829074,0.1367521367521367,28791.9795484626,,,231.55841161676943,,163075,3590,19132,226.0,3960.0,,1120.0,151487.0,,16386.0,0.0,0.0,1.0,,,253,1.0,,0.0,613.0,,0.3929329203124951,0.0,0.0,0.0,202,1673.4042538284634,13764.975601251828,542.6304347826087,520316,0,,,,226,4.221238938053097,2.216040566312755,1,12,4,5,0.147408825751668,2.0,4.0,6.0,0.965910711103056,0.7118108641570733,954,88,58,35,19,10,5.0,5.0,1.0,20,58.2,29.072685679716265,17,130,17,27,6.500850146833024,40.25,53.0,71.25,0.8763163196893933,0.6086935720518145,1164,11.5,4.978902859487271,3,21,3,6,1.1133165247181622,7.5,12.0,15.25,0.0781784173975084,-0.891151240541384,230,10,7,4.0,2.0,4,300.75,129.6132066316289,160,458,239,160,64.80660331581446,219.25,292.5,374.0,0.2930856623442975,-1.4217046982554518,1203,58.25,30.93406967514405,27,97,41,27,15.467034837572024,37.5,54.5,75.25,0.5283969223595157,-1.4655547247793823,233,2204,208220,229680.0,174,272.30046948356807
1809,61,127,0,0,1273,529,26,1,32,3,0,0,0,0,0,0,0,4,1246,500,61,104,0,22,0,25,1,0,0,29,0,3,0,0,1246,4.0,1.1650189685000971,969417.0575863796,969564.2789183776,486920.1702301848,486918.2821251242,514.2930649344494,102.1866444734814,1007935.0,1008095.0,157.0,846.0,149.0,147288,147526,0,0,0,1805274,1007935.0,1008095.0,157.0,846.0,149.0,3,12,12,9,72.013,0.083,0.3429860962566848,2.240917967818184,641.3840000000007,69,54,26,21,20,47.972972972972975,49.726745813990775,37,27.0,196,95,15,3.05,5.924747385243303,1.0,25.0,25.0,14.0,1.1277139007925356,0.93475935828877,122.5150356223085,-178.0,4381.778278415702,0.1567351026539809,25055.158122867728,,,,,510287,773,50282,88.0,2496.0,,876.0,115219.0,,19754.0,0.0,0.0,1.0,,1.0,500,1.0,,,78.0,,0.4222417699859556,,0.0,0.0,289,4704.380162826284,14251.059383723466,1119.983606557377,731281,0,,,,317,3.8706624605678233,2.109125111740033,1,13,3,3,0.1184602681594342,2.0,3.0,5.0,0.9840562073561951,0.9803793808997292,1227,98,66,47,16,8,4.0,3.0,1.0,25,61.56,34.895176361974926,9,143,140,9,6.979035272394985,34.0,60.0,76.0,0.8675051515989499,0.3985291684637877,1539,13.48,7.589027166464313,2,32,32,2,1.5178054332928623,7.0,13.0,18.0,0.7216919431723035,0.14498784577047,337,15,13,7.0,3.0,13,132.46153846153845,155.74156766077547,5,494,82,79,43.19493907092848,13.0,79.0,233.0,1.319751471889827,0.8935996525224374,1722,37.23076923076923,36.10667954398892,1,105,63,72,10.01419111404606,3.0,24.0,64.0,0.4636607831463521,-1.2184716903466182,484,3564,51018,164736.0,66,795.1807228915662
2687,234,150,6,1,2290,511,34,26,16,17,2,5,8,1,0,0,0,0,2130,471,233,59,4,81,0,28,22,0,0,12,0,14,0,0,2126,4.0,1.3026891349558554,749547.4476933073,749680.3924626381,581229.7386313671,581222.9474650285,571.9770457439179,111.9396299533978,517129.5,517241.0,119.0,660.5,207.0,2113,2243,0,0,0,1897167,517165.0,517301.0,119.0,661.0,207.0,5,20,23,28,90.337,0.047,0.2112841492639498,2.138919212592816,617.1609999999974,59,26,22,20,21,73.825,86.12271730442227,40,35.0,310,228,88,3.774193548387097,5.860172198104174,1.5,28.0,2.0,1.0,1.5413117454709129,0.733995207120849,422.1654533553829,-312.0,5173.26574160442,0.1228070175438596,27179.550194848773,,,,,144992,6664,16476,-21.0,2413.5,,913.0,218490.0,,5062.0,4.830526573415041,0.0,0.9545454545454546,,1.0,471,1.0,,,1155.0,,0.3809186243743125,0.0,0.0,0.0,365,837.4803222731767,20589.245038993344,267.7435897435897,1007265,1794,152.5,80.0,-13.5,379,4.580474934036939,2.5553634405938177,1,14,4,8,0.1312602031568579,3.0,4.0,6.0,0.9753609573409052,0.7331285631026305,1736,163,112,75,57,39,16.0,9.0,4.0,26,80.34615384615384,42.5054747604986,17,165,17,165,8.336009432242614,40.0,78.0,113.75,0.2002623783847235,-1.04724522500808,2089,14.576923076923077,7.6690185913092,3,31,3,31,1.504018286430441,8.25,13.5,20.0,0.328299533663504,-0.8436642529544529,379,18,16,15.0,10.0,5,427.2,205.79528663212864,288,785,364,288,92.03445007169869,295.0,364.0,404.0,1.937733712103964,3.907504343467616,2136,75.8,35.56262082580528,49,137,65,54,15.904087524910064,54.0,65.0,74.0,1.837518108504633,3.5535881226466035,379,2912,746368,270312.0,2464,2382.978723404255
2589,342,588,1,0,2418,438,33,26,4,1,1,0,0,2,4,0,0,0,2137,390,342,420,0,42,0,31,21,1,0,4,0,1,8,0,2137,4.0,1.1699415081140558,842575.5636363636,842735.0764204545,473524.6192937232,473512.079190212,665.7874393525838,102.71773321011884,880652.5,880818.0,159.0,1149.5,173.0,1994,2099,0,0,0,1725686,880821.0,880964.0,159.0,1150.0,173.0,4,17,17,12,11.066,0.121,0.2883807574206751,0.5735454429344071,845.2439999999987,328,82,20,19,24,68.16666666666667,59.7139182479288,42,53.0,260,53,84,2.178343949044586,2.9645408359677226,1.0,33.0,1.0,1.0,1.7003448259858636,0.764244285226885,545.6907678885286,-285.0,1687.2638919229223,0.0971590909090909,13290.765010373769,,,168.00759974307283,,90849,19357,4782,126.0,3279.0,912.0,899.5,79316.0,,2752.0,0.0,0.0,1.0,,1.0,390,1.0,,0.0,1598.0,,0.3867864214967756,,0.0,0.0,388,516.9419778166031,3903.852247276503,358.80409356725147,388510,1933,1933.0,,-7.0,345,5.408695652173913,3.0847401576539104,1,13,2,1,0.1660768273432917,3.0,4.0,8.0,0.5424865795442537,-0.8731032006549726,1866,170,144,126,101,72,42.0,26.0,8.0,30,72.7,26.885645445748235,1,135,58,1,4.908624827907448,56.5,72.5,89.5,-0.095530252896883,1.0516391217751466,2181,11.5,4.717904268809952,1,25,9,1,0.8613675307257092,9.0,11.0,13.75,0.8390855377987074,2.4132415889794774,345,25,20,15.0,3.0,3,745.3333333333334,300.16051261505623,409,986,986,409,173.2977527583988,625.0,841.0,913.5,-1.2885412762129829,,2236,114.66666666666669,46.800997140374406,61,147,147,61,27.02056829733807,98.5,136.0,141.5,-1.6250286238034246,,344,11808,2787408,472176.0,3024,1190.0826446280992
1397,139,79,0,0,1213,269,26,7,15,3,0,1,0,2,0,0,0,0,1107,245,139,29,2,37,11,24,4,0,0,13,0,2,0,0,1107,4.0,1.3711697774834644,1022138.360990712,1022218.1572755418,375208.4323434491,375207.42278385547,366.84826813389816,65.78141696982085,1078811.0,1078865.0,75.0,584.0,100.0,174425,174591,0,0,0,1775417,1078811.0,1078865.0,75.0,584.0,100.0,3,13,13,9,65.89,0.209,0.690063802083333,3.0756725716359354,1059.9379999999994,177,94,28,26,41,23.07692307692308,19.250249748629635,65,17.0,69,47,26,2.895833333333333,3.005240694388001,1.5,13.0,4.0,1.0,0.9593386559140792,0.8190104166666666,46.650961982010095,0.0,4170.717932047542,0.1374613003095975,16769.90040601845,741.0289897408627,,,538.1818181818181,117608,10341,48636,211.0,2441.5,,944.0,90845.0,,21005.0,0.0,0.0,1.0,,1.0,245,1.0,,,821.0,-1.0,0.4177264195500973,0.0,0.0,0.0,249,2072.6204128012496,12467.828525817324,881.8489208633093,412294,0,,,,226,4.442477876106195,2.554083625525019,1,17,9,6,0.1698951155648974,2.0,4.0,6.0,1.3010266420227283,2.015119404752133,1004,84,62,45,31,25,9.0,5.0,1.0,22,54.90909090909091,15.052002211093734,35,96,40,58,3.2090976539914164,44.0,52.0,64.75,1.000020580186254,1.1081541148710885,1208,10.272727272727272,3.534615466144301,4,18,7,10,0.7535825494235848,8.0,9.0,12.75,0.6131223574132603,-0.0875106094167277,226,13,7,2.0,0.0,4,311.75,152.90819685898683,110,475,363,110,76.45409842949341,251.75,331.0,391.0,-0.6952839762675455,0.9750880541977728,1247,56.25,31.244999599935987,18,94,61,18,15.622499799967994,43.5,56.5,69.25,-0.0466758426120058,1.0921996652244983,225,5828,641142,151373.0,248,296.6507177033493
